page_title,views_details
How does artificial intelligence learn?,"513,440 views | Briana Brownell • TED-Ed"
The danger of AI is weirder than you think,"3,170,321 views | Janelle Shane • TED2019"
The wonderful and terrifying implications of computers that can learn,"2,693,800 views | Jeremy Howard • TEDxBrussels"
How do we find dignity at work?,"2,204,611 views | Roy Bahat and Bryn Freedman • TED Salon: Zebra Technologies"
The incredible inventions of intuitive AI,"7,349,317 views | Maurice Conti • TEDxPortland"
How AI can bring on a second Industrial Revolution,"1,864,143 views | Kevin Kelly • TEDSummit"
"How AI can enhance our memory, work and social lives","2,166,189 views | Tom Gruber • TED2017"
We're building a dystopia just to make people click on ads,"3,353,192 views | Zeynep Tufekci • TEDGlobal>NYC"
How AI can save our humanity,"4,115,567 views | Kai-Fu Lee • TED2018"
Why fascism is so tempting — and how your data could power it,"4,641,498 views | Yuval Noah Harari • TED2018"
How AI can help shatter barriers to equality,"1,487,973 views | Jamila Gordon • TEDWomen 2020"
A future worth getting excited about,"10,559,822 views | Elon Musk • TED2022"
What happens in your brain when you pay attention?,"3,518,125 views | Mehdi Ordikhani-Seyedlar • TED2017"
Intelligent floating machines inspired by nature,"1,202,734 views | Anicka Yi • TED2022"
What if you could sing in your favorite musician's voice?,"1,054,444 views | Holly Herndon • TED2022"
"Meet Milo, the virtual boy","867,397 views | Peter Molyneux • TEDGlobal 2010"
Can a computer write poetry?,"938,885 views | Oscar Schwartz • TEDxYouth@Sydney"
"Building ""self-aware"" robots","1,525,206 views | Hod Lipson • TED2007"
"How to get empowered, not overpowered, by AI","1,499,248 views | Max Tegmark • TED2018"
A bold idea to replace politicians,"2,224,278 views | César Hidalgo • TED2018"
The medical potential of AI and metabolites,"1,975,960 views | Leila Pirhaji • TED2019"
An AI smartwatch that detects seizures,"2,033,061 views | Rosalind Picard • TEDxBeaconStreet"
Art in the age of machine intelligence,"1,010,116 views | Refik Anadol • TED2020 "
"How do self-driving cars ""see""?","569,115 views | Sajan Saini • TED-Ed"
A new equation for intelligence,"2,151,149 views | Alex Wissner-Gross • TEDxBeaconStreet"
How we'll earn money in a future without jobs,"3,397,727 views | Martin Ford • TED2017"
The ethical dilemma of self-driving cars,"1,907,701 views | Patrick Lin • TED-Ed"
AI-generated creatures that stretch the boundaries of imagination,"84,340 views | Sofia Crespo • TED2022"
A new way to restore Earth's biodiversity — from the air,"582,455 views | Susan Graham • TEDMonterey"
Get ready for hybrid thinking,"3,780,592 views | Ray Kurzweil • TED2014"
Can we build AI without losing control over it?,"5,884,162 views | Sam Harris • TEDSummit"
"A friendly, autonomous robot that delivers your food","1,900,882 views | Ali Kashani • TED2020 "
Is humanity smart enough to survive itself?,"1,182,859 views | Jeanette Winterson • TED2022"
How AI could empower any business,"1,123,722 views | Andrew Ng • TED2022"
