page,title,speaker,views_times,cate
1,How does artificial intelligence learn?,Briana Brownell,Mar 2021,AI
1,The danger of AI is weirder than you think,Janelle Shane,Oct 2019,AI
1,The wonderful and terrifying implications of computers that can learn,Jeremy Howard,Dec 2014,AI
1,How do we find dignity at work?,Roy Bahat and Bryn Freedman,Feb 2019,AI
1,The incredible inventions of intuitive AI,Maurice Conti,Feb 2017,AI
1,How AI can bring on a second Industrial Revolution,Kevin Kelly,Dec 2016,AI
1,"How AI can enhance our memory, work and social lives",Tom Gruber,Aug 2017,AI
1,We're building a dystopia just to make people click on ads,Zeynep Tufekci,Oct 2017,AI
1,How AI can save our humanity,Kai-Fu Lee,Aug 2018,AI
1,Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,May 2018,AI
1,How AI can help shatter barriers to equality,Jamila Gordon,Jan 2021,AI
1,A future worth getting excited about,Elon Musk,Apr 2022,AI
1,What happens in your brain when you pay attention?,Mehdi Ordikhani-Seyedlar,Jun 2017,AI
1,Intelligent floating machines inspired by nature,Anicka Yi,Aug 2022,AI
1,What if you could sing in your favorite musician's voice?,Holly Herndon,Sep 2022,AI
1,"Meet Milo, the virtual boy",Peter Molyneux,Aug 2010,AI
1,Can a computer write poetry?,Oscar Schwartz,Jan 2016,AI
1,"Building ""self-aware"" robots",Hod Lipson,Oct 2007,AI
1,"How to get empowered, not overpowered, by AI",Max Tegmark,Jun 2018,AI
1,A bold idea to replace politicians,César Hidalgo,Mar 2019,AI
1,The medical potential of AI and metabolites,Leila Pirhaji,Oct 2019,AI
1,An AI smartwatch that detects seizures,Rosalind Picard,Apr 2019,AI
1,Art in the age of machine intelligence,Refik Anadol,Aug 2020,AI
1,"How do self-driving cars ""see""?",Sajan Saini,May 2019,AI
1,A new equation for intelligence,Alex Wissner-Gross,Feb 2014,AI
1,How we'll earn money in a future without jobs,Martin Ford,Oct 2017,AI
1,The ethical dilemma of self-driving cars,Patrick Lin,Dec 2015,AI
1,AI-generated creatures that stretch the boundaries of imagination,Sofia Crespo,Nov 2022,AI
1,A new way to restore Earth's biodiversity — from the air,Susan Graham,Sep 2021,AI
1,Get ready for hybrid thinking,Ray Kurzweil,Jun 2014,AI
1,Can we build AI without losing control over it?,Sam Harris,Sep 2016,AI
1,"A friendly, autonomous robot that delivers your food",Ali Kashani,Jul 2020,AI
1,Is humanity smart enough to survive itself?,Jeanette Winterson,Aug 2022,AI
1,How AI could empower any business,Andrew Ng,Sep 2022,AI
1,4 lessons from robots about being human,Ken Goldberg,May 2012,AI
1,The value of your humanity in an automated future,Kevin Roose,Feb 2021,AI
2,How do we learn to work with intelligent machines?,Matt Beane,Feb 2019,AI
2,How AI could become an extension of your mind,Arnav Kapur,May 2019,AI
2,3 myths about the future of work (and why they're not true),Daniel Susskind,Mar 2018,AI
2,"Watson, Jeopardy and me, the obsolete know-it-all",Ken Jennings,Apr 2013,AI
